"Credentials","Zugangsdaten"
"Site Key","Website-Schlüssel"
"Your Private Captcha property site key.","Der Website-Schlüssel Ihrer Private-Captcha-Property."
"API Key","API-Schlüssel"
"Your Private Captcha API key, created in the account settings.","Ihr Private-Captcha-API-Schlüssel, der in den Kontoeinstellungen erstellt wurde."
"Protected Forms","Geschützte Formulare"
"Customer Login","Kundenanmeldung"
"Create Account / Registration","Konto erstellen / Registrierung"
"Forgot Password","Passwort vergessen"
"Contact Form","Kontaktformular"
"Product Review Submission","Produktbewertung abgeben"
"Email to a Friend","E-Mail an einen Freund"
"Share Wishlist","Wunschliste teilen"
"Orders & Returns","Bestellungen und Rücksendungen"
"Advanced","Erweitert"
"EU Isolation","EU-Isolierung"
"Enable to use EU-only endpoints for GDPR compliance. Ignored if custom domain is set.","Aktivieren Sie diese Option, um für die DSGVO-Konformität ausschließlich EU-Endpunkte zu verwenden. Wird ignoriert, wenn eine benutzerdefinierte Domain festgelegt ist."
"Custom Domain","Benutzerdefinierte Domain"
"Custom root domain for Private Captcha API endpoints. Leave empty to use privatecaptcha.com.","Benutzerdefinierte Root-Domain für die API-Endpunkte von Private Captcha. Leer lassen, um privatecaptcha.com zu verwenden."
"Debug Mode","Debug-Modus"
"Captcha widget prints verbose logs to browser console to help with debugging.","Das Captcha-Widget gibt ausführliche Protokolle in der Browserkonsole aus, um die Fehlerbehebung zu erleichtern."
"Custom Styles","Benutzerdefinierte Stile"
"Custom CSS styles for the captcha widget. Leave empty to use default styles.","Benutzerdefinierte CSS-Stile für das Captcha-Widget. Leer lassen, um die Standardstile zu verwenden."
"Theme","Farbschema"
"Theme for the captcha widget interface.","Farbschema für die Benutzeroberfläche des Captcha-Widgets."
"Language","Sprache"
"Language for the captcha widget interface.","Sprache der Benutzeroberfläche des Captcha-Widgets."
"Start Mode","Startmodus"
"When to start the captcha challenge. ""Auto"" starts when user starts filling in the form.","Zeitpunkt, zu dem die Captcha-Aufgabe gestartet wird. „Automatisch“ startet sie, sobald der Benutzer beginnt, das Formular auszufüllen."
"Automatic","Automatisch"
"English","Englisch"
"German","Deutsch"
"Spanish","Spanisch"
"French","Französisch"
"Italian","Italienisch"
"Dutch","Niederländisch"
"Swedish","Schwedisch"
"Norwegian","Norwegisch"
"Polish","Polnisch"
"Finnish","Finnisch"
"Estonian","Estnisch"
"Ukrainian","Ukrainisch"
"Turkish","Türkisch"
"Light","Hell"
"Dark","Dunkel"
"On Click","Bei Klick"
"Website ""%1"": Private Captcha and %2 are enabled for %3.","Website „%1“: Private Captcha und %2 sind für %3 aktiviert."
"CAPTCHA overlap detected.","CAPTCHA-Überschneidung erkannt."
"Effective Website settings. Select the named Website scope to review or disable Private Captcha.","Gültige Website-Einstellungen. Wählen Sie den Bereich der genannten Website aus, um Private Captcha zu überprüfen oder zu deaktivieren."
"Google reCAPTCHA v2 Invisible","Google reCAPTCHA v2 (unsichtbar)"
"Google reCAPTCHA v2 Checkbox","Google reCAPTCHA v2 (Kontrollkästchen)"
"Google reCAPTCHA v3 Invisible","Google reCAPTCHA v3 (unsichtbar)"
"Private Captcha configuration is already being saved. Please try again.","Die Private-Captcha-Konfiguration wird bereits gespeichert. Bitte versuchen Sie es erneut."
"Private Captcha settings test failed. Form protections have been disabled to prevent lockout. Please verify your API Key, Site Key, and domain settings.","Der Test der Private-Captcha-Einstellungen ist fehlgeschlagen. Die Formularschutzfunktionen wurden deaktiviert, um eine Aussperrung zu verhindern. Überprüfen Sie Ihren API-Schlüssel, Website-Schlüssel und die Domain-Einstellungen."
"Private Captcha supports only Default Config, Website, and Store View scopes.","Private Captcha unterstützt nur die Bereiche „Standardkonfiguration“, „Website“ und „Store-Ansicht“."
"Private Captcha Store View scope supports only Theme, Custom Styles, and Language.","Der Private-Captcha-Bereich „Store-Ansicht“ unterstützt nur Farbschema, benutzerdefinierte Stile und Sprache."
"Private Captcha Theme is invalid.","Das Private-Captcha-Farbschema ist ungültig."
"Private Captcha Language is invalid.","Die Private-Captcha-Sprache ist ungültig."
"Private Captcha Custom Domain must be a valid hostname.","Die benutzerdefinierte Private-Captcha-Domain muss ein gültiger Hostname sein."
"Private Captcha Start Mode is invalid.","Der Private-Captcha-Startmodus ist ungültig."
"Private Captcha %1 must be Yes or No.","Private Captcha: %1 muss „Ja“ oder „Nein“ sein."
"Private Captcha protected form values must be Yes or No.","Die Werte für von Private Captcha geschützte Formulare müssen „Ja“ oder „Nein“ sein."
"Private Captcha settings test failed, but an enabled form is locked by deployed configuration. The configuration was not saved.","Der Test der Private-Captcha-Einstellungen ist fehlgeschlagen, aber ein aktiviertes Formular ist durch die Deployment-Konfiguration gesperrt. Die Konfiguration wurde nicht gespeichert."
"Private Captcha configuration values must be scalar.","Die Private-Captcha-Konfigurationswerte müssen skalare Werte sein."
