"Credentials","Identifiants"
"Site Key","Clé de site"
"Your Private Captcha property site key.","La clé de site de votre propriété Private Captcha."
"API Key","Clé API"
"Your Private Captcha API key, created in the account settings.","Votre clé API Private Captcha, créée dans les paramètres du compte."
"Protected Forms","Formulaires protégés"
"Customer Login","Connexion client"
"Create Account / Registration","Création de compte / Inscription"
"Forgot Password","Mot de passe oublié"
"Contact Form","Formulaire de contact"
"Product Review Submission","Envoi d'un avis sur un produit"
"Email to a Friend","Envoyer à un ami"
"Share Wishlist","Partager la liste de souhaits"
"Orders & Returns","Commandes et retours"
"Advanced","Paramètres avancés"
"EU Isolation","Isolation dans l'UE"
"Enable to use EU-only endpoints for GDPR compliance. Ignored if custom domain is set.","Activez cette option pour utiliser uniquement des points de terminaison situés dans l'UE afin de respecter le RGPD. Ce paramètre est ignoré si un domaine personnalisé est défini."
"Custom Domain","Domaine personnalisé"
"Custom root domain for Private Captcha API endpoints. Leave empty to use privatecaptcha.com.","Domaine racine personnalisé pour les points de terminaison de l'API Private Captcha. Laissez ce champ vide pour utiliser privatecaptcha.com."
"Debug Mode","Mode de débogage"
"Captcha widget prints verbose logs to browser console to help with debugging.","Le widget Captcha affiche des journaux détaillés dans la console du navigateur pour faciliter le débogage."
"Custom Styles","Styles personnalisés"
"Custom CSS styles for the captcha widget. Leave empty to use default styles.","Styles CSS personnalisés pour le widget Captcha. Laissez ce champ vide pour utiliser les styles par défaut."
"Theme","Thème"
"Theme for the captcha widget interface.","Thème de l'interface du widget Captcha."
"Language","Langue"
"Language for the captcha widget interface.","Langue de l'interface du widget Captcha."
"Start Mode","Mode de démarrage"
"When to start the captcha challenge. ""Auto"" starts when user starts filling in the form.","Moment où le défi Captcha doit démarrer. « Automatique » le démarre dès que l'utilisateur commence à remplir le formulaire."
"Automatic","Automatique"
"English","Anglais"
"German","Allemand"
"Spanish","Espagnol"
"French","Français"
"Italian","Italien"
"Dutch","Néerlandais"
"Swedish","Suédois"
"Norwegian","Norvégien"
"Polish","Polonais"
"Finnish","Finnois"
"Estonian","Estonien"
"Ukrainian","Ukrainien"
"Turkish","Turc"
"Light","Clair"
"Dark","Sombre"
"On Click","Au clic"
"Website ""%1"": Private Captcha and %2 are enabled for %3.","Site web « %1 » : Private Captcha et %2 sont activés pour %3."
"CAPTCHA overlap detected.","Conflit entre CAPTCHA détecté."
"Effective Website settings. Select the named Website scope to review or disable Private Captcha.","Paramètres effectifs du site web. Sélectionnez le niveau du site web indiqué pour vérifier ou désactiver Private Captcha."
"Google reCAPTCHA v2 Invisible","Google reCAPTCHA v2 invisible"
"Google reCAPTCHA v2 Checkbox","Google reCAPTCHA v2 avec case à cocher"
"Google reCAPTCHA v3 Invisible","Google reCAPTCHA v3 invisible"
"Private Captcha configuration is already being saved. Please try again.","La configuration de Private Captcha est déjà en cours d'enregistrement. Veuillez réessayer."
"Private Captcha settings test failed. Form protections have been disabled to prevent lockout. Please verify your API Key, Site Key, and domain settings.","Le test des paramètres de Private Captcha a échoué. Les protections des formulaires ont été désactivées afin d'éviter tout blocage. Vérifiez votre clé API, votre clé de site et les paramètres du domaine."
"Private Captcha supports only Default Config, Website, and Store View scopes.","Private Captcha prend uniquement en charge les niveaux de configuration « Configuration par défaut », « Site web » et « Vue magasin »."
"Private Captcha Store View scope supports only Theme, Custom Styles, and Language.","Au niveau « Vue magasin », Private Captcha prend uniquement en charge le thème, les styles personnalisés et la langue."
"Private Captcha Theme is invalid.","Le thème de Private Captcha n'est pas valide."
"Private Captcha Language is invalid.","La langue de Private Captcha n'est pas valide."
"Private Captcha Custom Domain must be a valid hostname.","Le domaine personnalisé de Private Captcha doit être un nom d'hôte valide."
"Private Captcha Start Mode is invalid.","Le mode de démarrage de Private Captcha n'est pas valide."
"Private Captcha %1 must be Yes or No.","Le paramètre %1 de Private Captcha doit être défini sur Oui ou Non."
"Private Captcha protected form values must be Yes or No.","Les paramètres de protection des formulaires par Private Captcha doivent être définis sur Oui ou Non."
"Private Captcha settings test failed, but an enabled form is locked by deployed configuration. The configuration was not saved.","Le test des paramètres de Private Captcha a échoué, mais un formulaire activé est verrouillé par la configuration déployée. La configuration n'a pas été enregistrée."
"Private Captcha configuration values must be scalar.","Les valeurs de configuration de Private Captcha doivent être scalaires."
